STAND, POSX, POSY, POSZ, POL, DELAY
181, -32.816, -41.843, 2.752, 0, 5.71579470881e-07
181, -32.816, -41.843, 2.752, 1, 5.69306789088e-07
204, 33.893, 39.949, -0.006, 0, 2.00805942871e-07
204, 33.893, 39.949, -0.006, 1, 1.99719971695e-07
30, 5.986, -21.063, 2.167, 0, 4.88151095283e-07
30, 5.986, -21.063, 2.167, 1, 4.83835417623e-07
23, -6.881, -49.085, 3.046, 0, 5.55640476499e-07
23, -6.881, -49.085, 3.046, 1, 5.54260346155e-07
92, 14.62, -42.065, 2.837, 0, 5.15088821851e-07
92, 14.62, -42.065, 2.837, 1, 5.08488373666e-07
223, 36.721, 20.53, 0.764, 0, 2.3496870216e-07
223, 36.721, 20.53, 0.764, 1, 2.34049958456e-07
260, 167.559, 295.101, -5.692, 0, 1.22300176821e-06
260, 167.559, 295.101, -5.692, 1, 1.22300176821e-06
198, 31.936, 16.216, 0.928, 0, 2.32224559782e-07
198, 31.936, 16.216, 0.928, 1, 2.5289629311e-07
143, -20.876, 18.723, 1.056, 0, 4.31620150477e-07
143, -20.876, 18.723, 1.056, 1, 4.30979447631e-07
195, -29.187, 8.463, 1.476, 0, 4.83835417623e-07
195, -29.187, 8.463, 1.476, 1, 4.85993256453e-07
248, -49.222, -7.222, 1.913, 0, 5.95390245196e-07
248, -49.222, -7.222, 1.913, 1, 5.86041625055e-07
48, 6.988, 30.12, 0.45, 0, 2.9253726321e-07
48, 6.988, 30.12, 0.45, 1, 2.90963713139e-07
111, -16.685, 15.504, 1.131, 0, 4.27336709438e-07
111, -16.685, 15.504, 1.131, 1, 4.28182920744e-07
169, -26.024, 12.446, 1.385, 0, 4.9176965601e-07
169, -26.024, 12.446, 1.385, 1, 4.88143036127e-07
250, -48.592, -2.249, 1.717, 0, 5.94513812058e-07
250, -48.592, -2.249, 1.717, 1, 5.95682389575e-07
114, 16.652, 28.583, 0.485, 0, 2.7526044905e-07
114, 16.652, 28.583, 0.485, 1, 2.75792353299e-07
171, -26.5, 17.386, 1.151, 0, 4.52426874656e-07
171, -26.5, 17.386, 1.151, 1, 4.53097799334e-07
167, -25.552, 2.857, 1.571, 0, 4.94803927978e-07
167, -25.552, 2.857, 1.571, 1, 4.9529553645e-07
53, -6.039, 44.339, 0.157, 0, 3.30475736754e-07
53, -6.039, 44.339, 0.157, 1, 3.30149340965e-07
238, -41.951, 4.692, 1.528, 0, 5.92142405613e-07
238, -41.951, 4.692, 1.528, 1, 5.91554087276e-07
113, -16.086, 20.967, 0.901, 0, 4.14510563788e-07
113, -16.086, 20.967, 0.901, 1, 4.12044462269e-07
216, -34.062, -2.057, 1.753, 0, 5.23454225046e-07
216, -34.062, -2.057, 1.753, 1, 5.23194317288e-07
90, 18.794, -46.282, 2.945, 0, 5.18654998069e-07
90, 18.794, -46.282, 2.945, 1, 5.0716264262e-07
196, 30.853, 11.314, 1.074, 0, 2.54580656566e-07
196, 30.853, 11.314, 1.074, 1, 2.53081653682e-07
128, 23.475, -25.306, 2.288, 0, 3.97860348952e-07
128, 23.475, -25.306, 2.288, 1, 3.97662899647e-07
21, -8.825, -53.68, 3.148, 0, 5.73852152674e-07
21, -8.825, -53.68, 3.148, 1, 5.69590874312e-07
20, 7.905, -51.405, 3.153, 0, 5.47329472603e-07
20, 7.905, -51.405, 3.153, 1, 5.46797568354e-07
257, -56.028, 202.187, -5.687, 0, 9.61482102467e-07
257, -56.028, 202.187, -5.687, 1, 9.61482102467e-07
160, 27.095, -16.707, 2.017, 0, 3.69552565984e-07
160, 27.095, -16.707, 2.017, 1, 3.65563284113e-07
57, -12.82, -50.553, 3.058, 0, 5.86601736348e-07
57, -12.82, -50.553, 3.058, 1, 5.77958292296e-07
56, 13.01, -51.997, 3.181, 0, 5.25013671595e-07
56, 13.01, -51.997, 3.181, 1, 5.23454225046e-07
243, 41.488, 23.72, 0.624, 0, 2.33705429567e-07
243, 41.488, 23.72, 0.624, 1, 2.33131214753e-07
86, 11.979, 44.328, 0.012, 0, 3.06247901153e-07
86, 11.979, 44.328, 0.012, 1, 3.06247901153e-07
234, -40.81, -8.142, 1.885, 0, 5.56081715252e-07
234, -40.81, -8.142, 1.885, 1, 5.56081715252e-07
79, -11.051, 17.503, 0.933, 0, 4.31833718092e-07
79, -11.051, 17.503, 0.933, 1, 4.32047285707e-07
139, -22.366, 6.818, 1.432, 0, 4.93429842e-07
139, -22.366, 6.818, 1.432, 1, 4.94161210343e-07
52, 6.035, 41.813, 0.147, 0, 2.91678963171e-07
52, 6.035, 41.813, 0.147, 1, 2.901054131e-07
232, -44.608, -12.214, 2.032, 0, 5.80259181132e-07
232, -44.608, -12.214, 2.032, 1, 5.80259181132e-07
117, -13.763, 33.48, 0.455, 0, 3.88060416115e-07
117, -13.763, 33.48, 0.455, 1, 3.81052980587e-07
218, -35.74, 3.757, 1.621, 0, 5.14315142943e-07
218, -35.74, 3.757, 1.621, 1, 5.15082777485e-07
50, 7.595, 37.069, 0.215, 0, 3.09769752016e-07
50, 7.595, 37.069, 0.215, 1, 3.08238512511e-07
236, -39.629, 0.256, 1.699, 0, 5.74136237898e-07
236, -39.629, 0.256, 1.699, 1, 5.70727215209e-07
130, 22.422, -19.809, 2.108, 0, 3.91868366991e-07
130, 22.422, -19.809, 2.108, 1, 3.91481527537e-07
1, -0.653, -54.595, 3.204, 0, 5.62198614119e-07
1, -0.653, -54.595, 3.204, 1, 5.58306042113e-07
24, 6.204, -41.284, 2.759, 0, 5.42365032942e-07
24, 6.204, -41.284, 2.759, 1, 5.33254157883e-07
221, 38.696, 15.921, 0.955, 0, 2.1751861616e-07
221, 38.696, 15.921, 0.955, 1, 2.15916859046e-07
186, 31.991, -17.75, 2.07, 0, 3.76592238132e-07
186, 31.991, -17.75, 2.07, 1, 3.70725173079e-07
3, -2.34, -43.476, 2.802, 0, 5.44823075307e-07
3, -2.34, -43.476, 2.802, 1, 5.40773349772e-07
60, 10.251, -38.298, 2.769, 0, 5.32889481106e-07
60, 10.251, -38.298, 2.769, 1, 5.31569794427e-07
219, 36.994, 10.021, 1.194, 0, 2.38506671334e-07
219, 36.994, 10.021, 1.194, 1, 2.37104378313e-07
158, 28.127, -23.055, 2.197, 0, 3.89007366862e-07
158, 28.127, -23.055, 2.197, 1, 3.8010602984e-07
2, 0.55, -49.298, 3.075, 0, 5.39953330721e-07
2, 0.55, -49.298, 3.075, 1, 5.34058058623e-07
115, -16.439, 29.244, 0.554, 0, 3.90514428902e-07
115, -16.439, 29.244, 0.554, 1, 3.90321009175e-07
220, -36.796, 8.816, 1.446, 0, 5.14581095068e-07
220, -36.796, 8.816, 1.446, 1, 5.11027007583e-07
18, -1.004, 47.373, 0.142, 0, 3.17885321397e-07
18, -1.004, 47.373, 0.142, 1, 3.15588462138e-07
252, -48.237, 2.938, 1.572, 0, 6.1159922128e-07
252, -48.237, 2.938, 1.572, 1, 6.0064078487e-07
47, -5.252, 25.474, 0.664, 0, 3.71641901993e-07
47, -5.252, 25.474, 0.664, 1, 3.69808444164e-07
141, -20.834, 11.593, 1.289, 0, 4.50345597801e-07
141, -20.834, 11.593, 1.289, 1, 4.46356315931e-07
193, -30.592, 1.801, 1.581, 0, 5.11659651274e-07
193, -30.592, 1.801, 1.581, 1, 5.05663639736e-07
246, -47.722, -16.779, 2.159, 0, 6.07912157733e-07
246, -47.722, -16.779, 2.159, 1, 6.03108901178e-07
207, 37.328, -27.243, 2.292, 0, 4.1202431438e-07
207, 37.328, -27.243, 2.292, 1, 4.12225793263e-07
215, 38.546, -2.728, 1.561, 0, 3.04307659516e-07
215, 38.546, -2.728, 1.561, 1, 3.02395624923e-07
13, -0.941, 19.819, 0.893, 0, 3.3445494468e-07
13, -0.941, 19.819, 0.893, 1, 3.3445494468e-07
